InputString,Actual,Predicted_Interpolation,Correct_Interpolation,InTop10_Interpolation,InWordCloud_Interpolation,Runtime_Interpolation,Predicted_Backoff,Correct_Backoff,InTop10_Backoff,InWordCloud_Backoff,Runtime_Backoff
u always need,that,to,FALSE,FALSE,TRUE,0.420000000000073,to,FALSE,FALSE,TRUE,0.390000000000327
we are looking,forward,for,FALSE,TRUE,TRUE,0.219999999999345,for,FALSE,TRUE,TRUE,0.0500000000001819
console for too long those,addictive,who,FALSE,FALSE,FALSE,0.280000000000655,who,FALSE,FALSE,FALSE,0.269999999999527
 on the game,moe,and,FALSE,FALSE,FALSE,0.25,in,FALSE,FALSE,FALSE,0.140000000000327
school or,work,a,FALSE,FALSE,TRUE,0.230000000000473,a,FALSE,FALSE,TRUE,0.220000000000255
the state ordered the,investigation,first,FALSE,FALSE,TRUE,0.469999999999345,first,FALSE,FALSE,TRUE,0.470000000000255
appreciated but i,couldnt,dont,FALSE,FALSE,TRUE,0.270000000000437,dont,FALSE,FALSE,TRUE,0.110000000000582
and says  on the,back,of,FALSE,FALSE,TRUE,0.5600000000004,side,FALSE,FALSE,TRUE,0.0700000000006185
updated,nov,and,FALSE,FALSE,FALSE,0.139999999999418,and,FALSE,FALSE,FALSE,0.119999999999891
layer of paper towels,to,the,FALSE,TRUE,TRUE,0.25,the,FALSE,TRUE,TRUE,0.25
if the angels,keep,and,FALSE,FALSE,FALSE,0.270000000000437,and,FALSE,FALSE,FALSE,0.260000000000218
agreed fully,with,support,FALSE,FALSE,FALSE,0.219999999999345,support,FALSE,FALSE,FALSE,0.219999999999345
the jaws that bite the,claws,first,FALSE,FALSE,FALSE,0.5600000000004,first,FALSE,FALSE,FALSE,0.449999999999818
of the,wide,most,FALSE,FALSE,FALSE,0.509999999999309,year,FALSE,FALSE,FALSE,0.110000000000582
indian ocean tsunami killed,more,in,FALSE,FALSE,FALSE,0.260000000000218,in,FALSE,FALSE,FALSE,0.269999999999527
not long ago my daughter,made,and,FALSE,FALSE,FALSE,0.260000000000218,and,FALSE,FALSE,FALSE,0.140000000000327
cause i,want,got,FALSE,FALSE,TRUE,0.25,got,FALSE,FALSE,FALSE,0.109999999999673
the past two years,ive,ago,FALSE,FALSE,TRUE,0.300000000000182,ago,FALSE,FALSE,FALSE,0.170000000000073
phone like a yearold girl,gossipâmine,i,FALSE,FALSE,FALSE,0.279999999999745,i,FALSE,FALSE,FALSE,0.25
obamaâs performance his,highest,own,FALSE,FALSE,FALSE,0.350000000000364,own,FALSE,FALSE,FALSE,0.3799999999992
where the sustainability center comes,in,to,FALSE,TRUE,TRUE,0.260000000000218,to,FALSE,TRUE,TRUE,0.289999999999964
to their union brothers in,other,the,FALSE,FALSE,TRUE,0.3100000000004,the,FALSE,FALSE,TRUE,0.319999999999709
cleaning companies tout having certifications,in,the,FALSE,TRUE,TRUE,0.3100000000004,the,FALSE,TRUE,TRUE,0.279999999999745
do stupid things,sometimes,that,FALSE,FALSE,FALSE,0.25,that,FALSE,FALSE,FALSE,0.25
while demand for gasolinepowered,vehicles,the,FALSE,FALSE,FALSE,0.210000000000036,the,FALSE,FALSE,FALSE,0.25
what happened to being,honest,done,FALSE,TRUE,TRUE,0.25,colonised,FALSE,FALSE,FALSE,0.130000000000109
that hundreds,if,of,FALSE,FALSE,FALSE,0.230000000000473,of,FALSE,FALSE,FALSE,0.220000000000255
laying in bed,reading,watching,FALSE,FALSE,FALSE,0.239999999999782,watching,FALSE,FALSE,FALSE,0.109999999999673
 play some,tennis,of,FALSE,FALSE,FALSE,0.199999999999818,of,FALSE,FALSE,FALSE,0.220000000000255
novel and through my research,for,interests,FALSE,TRUE,TRUE,0.289999999999964,interests,FALSE,FALSE,FALSE,0.140000000000327
and i positively want,a,to,FALSE,TRUE,TRUE,0.299999999999272,to,FALSE,TRUE,TRUE,0.25
is certainly taking up,that,to,FALSE,FALSE,TRUE,0.300000000000182,to,FALSE,FALSE,TRUE,0.319999999999709
g allows local law,enforcement,enforcement,TRUE,TRUE,TRUE,0.25,enforcement,TRUE,TRUE,TRUE,0.25
that almost none passed,advocates,the,FALSE,FALSE,FALSE,0.259999999999309,the,FALSE,FALSE,FALSE,0.25
the fact,that,that,TRUE,TRUE,TRUE,0.219999999999345,that,TRUE,TRUE,TRUE,0.100000000000364
and yes i do take,requests,a,FALSE,FALSE,FALSE,0.280000000000655,a,FALSE,FALSE,FALSE,0.279999999999745
regalcinemas contains cal neither do,most,you,FALSE,FALSE,TRUE,0.259999999999309,you,FALSE,FALSE,TRUE,0.240000000000691
and north cap,opening,on,FALSE,FALSE,FALSE,0.300000000000182,on,FALSE,FALSE,FALSE,0.25
shall inherit,the,the,TRUE,TRUE,TRUE,0.220000000000255,the,TRUE,TRUE,TRUE,0.0799999999999272
in d,with,i,FALSE,FALSE,TRUE,0.200000000000728,i,FALSE,FALSE,TRUE,0.1899999999996
family asked for the maximum,punishment,penalty,FALSE,FALSE,FALSE,0.259999999999309,penalty,FALSE,FALSE,FALSE,0.280000000000655
if it is,on,not,FALSE,FALSE,TRUE,0.299999999999272,not,FALSE,FALSE,FALSE,0.0299999999997453
if everyone was dead on,the,the,TRUE,TRUE,TRUE,0.299999999999272,the,TRUE,TRUE,TRUE,0.140000000000327
worry about competing with the,larger,same,FALSE,FALSE,TRUE,0.590000000000146,family,FALSE,FALSE,FALSE,0.140000000000327
all based,on,on,TRUE,TRUE,TRUE,0.220000000000255,on,TRUE,TRUE,TRUE,0.220000000000255
can give u a,lifetime,few,FALSE,FALSE,TRUE,0.409999999999855,few,FALSE,FALSE,TRUE,0.359999999999673
pretty good,hby,i,FALSE,FALSE,FALSE,0.25,i,FALSE,FALSE,FALSE,0.0799999999999272
and i smiled cause,i,i,TRUE,TRUE,TRUE,0.270000000000437,i,TRUE,TRUE,TRUE,0.289999999999964
dont say,this,that,FALSE,FALSE,TRUE,0.229999999999563,that,FALSE,FALSE,TRUE,0.210000000000036
provide access,not,to,FALSE,FALSE,FALSE,0.220000000000255,to,FALSE,FALSE,FALSE,0.229999999999563
an overturned,garbage,the,FALSE,FALSE,FALSE,0.220000000000255,the,FALSE,FALSE,FALSE,0.239999999999782
i do  the,eyesight,of,FALSE,FALSE,FALSE,0.869999999999891,of,FALSE,FALSE,FALSE,0.460000000000036
have chips on their,shoulders,own,FALSE,FALSE,TRUE,0.279999999999745,own,FALSE,FALSE,FALSE,0.140000000000327
rt  sleepy but dont,want,want,TRUE,TRUE,TRUE,0.270000000000437,want,TRUE,TRUE,TRUE,0.130000000000109
marketed as a burnt,toast,the,FALSE,FALSE,FALSE,0.25,the,FALSE,FALSE,FALSE,0.25
amazing actor i am,now,a,FALSE,FALSE,TRUE,0.260000000000218,a,FALSE,FALSE,TRUE,0.140000000000327
a throwaway nod to,the,his,FALSE,TRUE,TRUE,0.390000000000327,his,FALSE,FALSE,FALSE,0.140000000000327
put on one guy,working,who,FALSE,FALSE,FALSE,0.260000000000218,who,FALSE,FALSE,FALSE,0.25
recent trip to the,us,us,TRUE,TRUE,TRUE,0.590000000000146,us,TRUE,TRUE,TRUE,0.170000000000073
chancellor takes stage reads letter,from,to,FALSE,TRUE,TRUE,0.260000000000218,to,FALSE,TRUE,TRUE,0.25
only building that qualifies,for,for,TRUE,TRUE,TRUE,0.300000000000182,for,TRUE,TRUE,TRUE,0.25
my last ms page purchase,was,of,FALSE,TRUE,TRUE,0.279999999999745,of,FALSE,TRUE,TRUE,0.260000000000218
up and yell happy new,year,year,TRUE,TRUE,TRUE,0.3100000000004,year,TRUE,TRUE,TRUE,0.170000000000073
see steele  fd,at,at,TRUE,TRUE,TRUE,0.230000000000473,at,TRUE,TRUE,TRUE,0.210000000000036
the sauce on each,plate,side,FALSE,FALSE,FALSE,0.289999999999964,side,FALSE,FALSE,FALSE,0.140000000000327
well so am i,hahahaha,to,FALSE,FALSE,FALSE,0.279999999999745,gonna,FALSE,FALSE,FALSE,0.140000000000327
where i can get rid,of,of,TRUE,TRUE,TRUE,0.239999999999782,of,TRUE,TRUE,TRUE,0.0600000000004002
move fast as,idk,a,FALSE,FALSE,FALSE,0.270000000000437,a,FALSE,FALSE,FALSE,0.229999999999563
mac msf pearl outer ring,for,and,FALSE,FALSE,FALSE,0.270000000000437,and,FALSE,FALSE,FALSE,0.259999999999309
still dont remember everything,but,is,FALSE,FALSE,TRUE,0.280000000000655,is,FALSE,FALSE,TRUE,0.25
since i was little,we,bit,FALSE,FALSE,FALSE,0.25,bit,FALSE,FALSE,FALSE,0.25
was set at  after,the,the,TRUE,TRUE,TRUE,0.289999999999964,few,FALSE,TRUE,TRUE,0.140000000000327
those tire snakes are causing,some,my,FALSE,FALSE,FALSE,0.260000000000218,my,FALSE,FALSE,FALSE,0.270000000000437
to highly appreciative black,audiences,and,FALSE,FALSE,FALSE,0.25,and,FALSE,FALSE,FALSE,0.25
i need a starbucks,fix,the,FALSE,FALSE,FALSE,0.269999999999527,the,FALSE,FALSE,FALSE,0.270000000000437
petals and,thorns,the,FALSE,FALSE,FALSE,0.3100000000004,the,FALSE,FALSE,FALSE,0.300000000000182
the day,march,i,FALSE,FALSE,TRUE,0.199999999999818,i,FALSE,FALSE,TRUE,0.110000000000582
the fall of,the,the,TRUE,TRUE,TRUE,0.300000000000182,the,TRUE,TRUE,TRUE,0.0500000000001819
to my,collection,new,FALSE,FALSE,TRUE,0.25,new,FALSE,FALSE,FALSE,0.110000000000582
right for calipari,to,the,FALSE,TRUE,TRUE,0.25,the,FALSE,TRUE,TRUE,0.239999999999782
so,much,i,FALSE,TRUE,TRUE,0.150000000000546,i,FALSE,TRUE,TRUE,0.140000000000327
mein then realized it was,a,a,TRUE,TRUE,TRUE,0.300000000000182,a,TRUE,TRUE,TRUE,0.149999999999636
responses snailmail but,look,i,FALSE,FALSE,TRUE,0.289999999999964,i,FALSE,FALSE,TRUE,0.25
nothing like true texas,hospitality,and,FALSE,FALSE,FALSE,0.300000000000182,and,FALSE,FALSE,FALSE,0.270000000000437
buddies now jason isbell,show,the,FALSE,FALSE,FALSE,0.239999999999782,the,FALSE,FALSE,FALSE,0.289999999999964
file cannot be,opened,a,FALSE,FALSE,FALSE,0.25,a,FALSE,FALSE,FALSE,0.220000000000255
our time our month remember,to,that,FALSE,TRUE,TRUE,0.3100000000004,that,FALSE,TRUE,TRUE,0.270000000000437
time until we,had,are,FALSE,TRUE,TRUE,0.239999999999782,are,FALSE,TRUE,TRUE,0.229999999999563
your momma let you,date,know,FALSE,FALSE,TRUE,0.25,know,FALSE,FALSE,FALSE,0.1299999999992
teens caught in unguarded,moments,the,FALSE,FALSE,FALSE,0.269999999999527,the,FALSE,FALSE,FALSE,0.25
seeing tomorrow its,about,a,FALSE,FALSE,TRUE,0.300000000000182,a,FALSE,FALSE,TRUE,0.280000000000655
and didnt return to that,high,end,FALSE,FALSE,FALSE,0.340000000000146,end,FALSE,FALSE,FALSE,0.159999999999854
 hunter,s,and,FALSE,FALSE,FALSE,0.149999999999636,and,FALSE,FALSE,FALSE,0.159999999999854
ive gotten some of the,best,most,FALSE,TRUE,TRUE,0.640000000000327,most,FALSE,TRUE,TRUE,0.0600000000004002
rt  its not,about,a,FALSE,FALSE,TRUE,0.359999999999673,to,FALSE,FALSE,FALSE,0.069999999999709
iâm always torn,between,down,FALSE,TRUE,TRUE,0.420000000000073,down,FALSE,TRUE,TRUE,0.369999999999891
my new little,cousin,bit,FALSE,FALSE,TRUE,0.260000000000218,bit,FALSE,FALSE,TRUE,0.229999999999563
was actually a,little,few,FALSE,TRUE,TRUE,0.369999999999891,few,FALSE,TRUE,TRUE,0.340000000000146
none because im assuming someone,somewhere,who,FALSE,FALSE,FALSE,0.329999999999927,who,FALSE,FALSE,FALSE,0.260000000000218
receiving billions of bail,out,the,FALSE,FALSE,FALSE,0.25,the,FALSE,FALSE,FALSE,0.25
spielberg missed out on a,directing,new,FALSE,FALSE,FALSE,0.400000000000546,new,FALSE,FALSE,FALSE,0.149999999999636
richard grenell romney,campaign,is,FALSE,TRUE,TRUE,0.25,is,FALSE,TRUE,TRUE,0.240000000000691
i highly doubt there,is,is,TRUE,TRUE,TRUE,0.270000000000437,is,TRUE,TRUE,TRUE,0.269999999999527
it can get the,kids,most,FALSE,FALSE,TRUE,0.5,babies,FALSE,FALSE,FALSE,0.119999999999891
prefer the,bieber,first,FALSE,FALSE,FALSE,0.399999999999636,first,FALSE,FALSE,FALSE,0.420000000000073
i should just put,dayquil,in,FALSE,FALSE,FALSE,0.25,in,FALSE,FALSE,FALSE,0.119999999999891
best show,is,that,FALSE,FALSE,TRUE,0.219999999999345,that,FALSE,FALSE,TRUE,0.200000000000728
something epic is,up,a,FALSE,FALSE,TRUE,0.299999999999272,a,FALSE,FALSE,TRUE,0.280000000000655
have been better,rt,than,FALSE,FALSE,TRUE,0.220000000000255,than,FALSE,FALSE,TRUE,0.229999999999563
can really screw,up,up,TRUE,TRUE,TRUE,0.270000000000437,up,TRUE,TRUE,TRUE,0.25
woulda been better if we,had,are,FALSE,TRUE,TRUE,0.260000000000218,are,FALSE,TRUE,TRUE,0.140000000000327
typical day animating,flannel,the,FALSE,FALSE,FALSE,0.280000000000655,the,FALSE,FALSE,FALSE,0.260000000000218
now i wont,even,be,FALSE,TRUE,TRUE,0.25,be,FALSE,TRUE,TRUE,0.130000000000109
i,guess,was,FALSE,FALSE,TRUE,0.180000000000291,was,FALSE,FALSE,TRUE,0.170000000000073
certainly was not enough for,him,me,FALSE,FALSE,TRUE,0.329999999999927,me,FALSE,FALSE,FALSE,0.140000000000327
words permanent resident and,citizen,the,FALSE,FALSE,FALSE,0.359999999999673,the,FALSE,FALSE,FALSE,0.3700000000008
a beautiful,day,day,TRUE,TRUE,TRUE,0.190000000000509,day,TRUE,TRUE,TRUE,0.100000000000364
grocery store last night and,saw,i,FALSE,FALSE,TRUE,0.369999999999891,i,FALSE,FALSE,FALSE,0.159999999999854
at it for the same,reasons,reasons,TRUE,TRUE,TRUE,0.280000000000655,reasons,TRUE,TRUE,TRUE,0.0499999999992724
who cares david wright,homer,the,FALSE,FALSE,FALSE,0.25,the,FALSE,FALSE,FALSE,0.230000000000473
colons too just to,disguise,see,FALSE,FALSE,FALSE,0.340000000000146,see,FALSE,FALSE,FALSE,0.119999999999891
or failure for,your,the,FALSE,TRUE,TRUE,0.279999999999745,the,FALSE,TRUE,TRUE,0.260000000000218
with this ,said,months,FALSE,FALSE,TRUE,0.25,months,FALSE,FALSE,FALSE,0.0800000000008367
first talk at pm,in,on,FALSE,TRUE,TRUE,0.270000000000437,on,FALSE,TRUE,TRUE,0.139999999999418
soul is bright like the,sun,one,FALSE,FALSE,TRUE,0.569999999999709,one,FALSE,FALSE,FALSE,0.130000000000109
much faster,than,than,TRUE,TRUE,TRUE,0.220000000000255,than,TRUE,TRUE,TRUE,0.0799999999999272
wire in truck bed,prompts,and,FALSE,FALSE,FALSE,0.270000000000437,and,FALSE,FALSE,FALSE,0.25
are our child now they,cant,are,FALSE,FALSE,TRUE,0.300000000000182,are,FALSE,FALSE,FALSE,0.139999999999418
mark mcgwire is the cardinals,hitting,took,FALSE,FALSE,FALSE,0.289999999999964,took,FALSE,FALSE,FALSE,0.170000000000073
niggas wit blue,eyes,and,FALSE,TRUE,TRUE,0.229999999999563,and,FALSE,TRUE,TRUE,0.220000000000255
the novel of the moment,in,but,FALSE,TRUE,TRUE,0.279999999999745,but,FALSE,FALSE,FALSE,0.159999999999854
has come full,circle,circle,TRUE,TRUE,TRUE,0.210000000000036,circle,TRUE,TRUE,TRUE,0.0300000000006548
where your order,ships,to,FALSE,FALSE,FALSE,0.270000000000437,to,FALSE,FALSE,FALSE,0.229999999999563
what you doing,actually,this,FALSE,FALSE,FALSE,0.229999999999563,this,FALSE,FALSE,FALSE,0.100000000000364
something is going,on,on,TRUE,TRUE,TRUE,0.229999999999563,on,TRUE,TRUE,TRUE,0.0299999999997453
cali till next week,hustling,i,FALSE,FALSE,FALSE,0.260000000000218,i,FALSE,FALSE,FALSE,0.140000000000327
in the restaurant business since,i,the,FALSE,TRUE,TRUE,0.279999999999745,the,FALSE,TRUE,TRUE,0.270000000000437
one of them,addressed,is,FALSE,FALSE,FALSE,0.270000000000437,is,FALSE,FALSE,FALSE,0.0399999999999636
convert abandoned corner restaurant,into,in,FALSE,FALSE,FALSE,0.270000000000437,in,FALSE,FALSE,FALSE,0.25
came along said mike pruitt,a,the,FALSE,TRUE,TRUE,0.25,the,FALSE,TRUE,TRUE,0.25
grandchildren and greatgrandchildren so,many,i,FALSE,TRUE,TRUE,0.279999999999745,i,FALSE,TRUE,TRUE,0.270000000000437
in a,circle,few,FALSE,FALSE,TRUE,0.359999999999673,few,FALSE,FALSE,TRUE,0.109999999999673
next winter building,an,and,FALSE,FALSE,TRUE,0.25,and,FALSE,FALSE,TRUE,0.269999999999527
all over the united,states,states,TRUE,TRUE,TRUE,0.260000000000218,states,TRUE,TRUE,TRUE,0.159999999999854
young goethe,in,the,FALSE,TRUE,TRUE,0.199999999999818,the,FALSE,TRUE,TRUE,0.199999999999818
and drunk the milk of,paradise,the,FALSE,FALSE,TRUE,0.350000000000364,the,FALSE,FALSE,TRUE,0.329999999999927
dont know,whats,what,FALSE,FALSE,TRUE,0.199999999999818,what,FALSE,FALSE,FALSE,0.100000000000364
others involved like start,a,to,FALSE,TRUE,TRUE,0.270000000000437,to,FALSE,TRUE,TRUE,0.25
every convo with,you,the,FALSE,TRUE,TRUE,0.289999999999964,the,FALSE,TRUE,TRUE,0.25
it arrived long,before,time,FALSE,TRUE,TRUE,0.25,time,FALSE,TRUE,TRUE,0.25
sing it for you,rocket,to,FALSE,FALSE,FALSE,0.280000000000655,to,FALSE,FALSE,FALSE,0.119999999999891
them i love it its,a,a,TRUE,TRUE,TRUE,0.289999999999964,a,TRUE,TRUE,TRUE,0.140000000000327
that means you see very,little,good,FALSE,TRUE,TRUE,0.260000000000218,good,FALSE,TRUE,TRUE,0.25
without the,inner,other,FALSE,FALSE,FALSE,0.420000000000073,other,FALSE,FALSE,FALSE,0.0799999999999272
and i were,home,a,FALSE,FALSE,TRUE,0.25,a,FALSE,FALSE,FALSE,0.130000000000109
ladies we,dig,are,FALSE,FALSE,FALSE,0.220000000000255,are,FALSE,FALSE,FALSE,0.199999999999818
smiling and we got,both,a,FALSE,FALSE,FALSE,0.25,a,FALSE,FALSE,FALSE,0.130000000000109
baby wanna  u right,now,now,TRUE,TRUE,TRUE,0.25,now,TRUE,TRUE,TRUE,0.119999999999891
in awhile sorry i,have,have,TRUE,TRUE,TRUE,0.279999999999745,didnt,FALSE,TRUE,TRUE,0.119999999999891
jeff dont,pit,know,FALSE,FALSE,FALSE,0.199999999999818,know,FALSE,FALSE,FALSE,0.210000000000036
and abc entertainment group should,be,be,TRUE,TRUE,TRUE,0.279999999999745,be,TRUE,TRUE,TRUE,0.289999999999964
not sure what schlockly means,but,the,FALSE,FALSE,TRUE,0.260000000000218,the,FALSE,FALSE,TRUE,0.269999999999527
all with,the,the,TRUE,TRUE,TRUE,0.230000000000473,the,TRUE,TRUE,TRUE,0.220000000000255
why do i,feel,feel,TRUE,TRUE,TRUE,0.279999999999745,feel,TRUE,TRUE,TRUE,0.0299999999997453
achievement as,a,a,TRUE,TRUE,TRUE,0.270000000000437,a,TRUE,TRUE,TRUE,0.229999999999563
will bianculli be wearing his,finest,own,FALSE,FALSE,FALSE,0.309999999999491,own,FALSE,FALSE,FALSE,0.279999999999745
session about careers,outside,and,FALSE,FALSE,FALSE,0.269999999999527,and,FALSE,FALSE,FALSE,0.25
are on the arun,valley,the,FALSE,FALSE,FALSE,0.300000000000182,the,FALSE,FALSE,FALSE,0.279999999999745
than drink delicious,coffee,and,FALSE,FALSE,FALSE,0.240000000000691,and,FALSE,FALSE,FALSE,0.25
lived but oh so,fun,i,FALSE,FALSE,TRUE,0.279999999999745,i,FALSE,FALSE,TRUE,0.279999999999745
steelers steelers steelers steelers,steelers,steelers,TRUE,TRUE,TRUE,0.269999999999527,steelers,TRUE,TRUE,TRUE,0.0399999999999636
gaps at the same,time,time,TRUE,TRUE,TRUE,0.289999999999964,time,TRUE,TRUE,TRUE,0.0599999999994907
like this book let me,leave,know,FALSE,TRUE,TRUE,0.279999999999745,know,FALSE,TRUE,TRUE,0.140000000000327
image koala hug tilda,this,this,TRUE,TRUE,TRUE,0.279999999999745,this,TRUE,TRUE,TRUE,0.300000000000182
she still,talking,have,FALSE,FALSE,TRUE,0.219999999999345,have,FALSE,FALSE,TRUE,0.219999999999345
up in a dumpy,truck,the,FALSE,FALSE,FALSE,0.329999999999927,the,FALSE,FALSE,FALSE,0.260000000000218
tori  dean when,is,i,FALSE,FALSE,TRUE,0.25,i,FALSE,FALSE,TRUE,0.239999999999782
love yer,character,the,FALSE,FALSE,FALSE,0.1899999999996,the,FALSE,FALSE,FALSE,0.200000000000728
been normal i donât think,it,i,FALSE,TRUE,TRUE,0.859999999999673,i,FALSE,TRUE,TRUE,0.840000000000146
deal you,would,can,FALSE,FALSE,TRUE,0.239999999999782,can,FALSE,FALSE,TRUE,0.220000000000255
